customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date
CUST0001,William,Stewart,leecorey@moore.com,(891)981-1882x4895,"8974 Underwood Mission Apt. 062, Lake Jenniferland, NJ 05928",Lake Amyshire,Maryland,22264,11-06-2025
CUST0002,George,Calderon,zharris@crawford.com,001-892-081-4816x9542,"38682 Gonzales Station Suite 566, Gwendolynview, ME 23710",Ericborough,Nebraska,85534,29-06-2023
CUST0003,Joel,Parrish,oguzman@burch.org,6766602650,"40023 Kristine Route, Vanessaport, NM 18739",South Emmaville,New Hampshire,66110,31-01-2024
CUST0004,Amy,Morse,tylersullivan@nguyen-wallace.com,001-958-628-5213x2800,"PSC 0867, Box 7437, APO AA 66424",Fitzpatrickmouth,North Carolina,45851,28-11-2024
CUST0005,Aaron,Brown,zmooney@allen.org,(562)427-2380x28900,"220 Gomez Ferry Suite 713, New Johnathan, TX 75492",Ryanfort,Louisiana,98069,21-06-2025
CUST0006,Lori,Morales,markkelley@becker.com,001-763-727-8197,"9253 Samantha Cape Suite 696, Schneidershire, NJ 67499",Walkershire,Louisiana,37849,17-05-2024
CUST0007,Tracy,Gutierrez,nicholsnicole@reyes.com,001-715-364-7490x63311,"PSC 7524, Box 0487, APO AP 43907",Port Mitchellhaven,Oregon,70790,26-06-2024
CUST0008,Wesley,Graham,dylan14@rice.net,(858)521-2928,"190 Thomas Junction, North Jeffreymouth, KY 96998",West Christopher,Mississippi,31157,29-03-2024
CUST0009,Lucas,Obrien,allison90@roberts.com,(158)237-1731,"125 Johnson Isle, Smithview, AK 35219",Williamschester,New York,79345,04-01-2024
CUST0010,Wayne,Flores,hollyburgess@hotmail.com,730-226-6888,"840 Charles Mission Suite 798, Port Evelyn, VT 92913",Santosmouth,Hawaii,10468,22-07-2024
CUST0011,Austin,Contreras,sreyes@lewis.info,001-637-755-2274x4659,"74388 Candice Isle Apt. 687, Barnesland, PA 07149",Kellifort,Ohio,82465,08-09-2024
CUST0012,Michael,Long,myersjesse@leon.biz,(933)342-4774x064,"73612 Jessica Terrace Suite 225, Port Randybury, NY 48818",Lake Stephanie,Virginia,58886,01-07-2024
CUST0013,Andre,Allen,mirandapearson@green.org,863.477.1875,"852 Lopez Village Suite 207, Port Victoriashire, OK 57775",New Billy,Minnesota,10183,03-04-2025
