order_id,customer_id,order_date,total_amount,shipping_address,status,delivery_date
ORD00001,CUST0149,18-10-2024,37983.56,"809 Aaron Key, Princehaven, FL 60459",Delivered,09-11-2024
ORD00002,CUST0120,03-07-2024,7797.53,"4976 Bradley Centers, New Russellhaven, OR 66564",Cancelled,21-05-2025
ORD00003,CUST0114,14-01-2025,10171.67,"09944 Jasmine Ranch, Alexanderland, WA 94550",Shipped,18-06-2025
ORD00004,CUST0131,01-10-2024,37176.55,"37507 Moody Mews, New Peggy, NM 36067",Cancelled,03-01-2025
ORD00005,CUST0044,25-09-2024,11411.15,"9881 George Forges, Newmanburgh, WV 34676",Pending,28-02-2025
ORD00006,CUST0073,05-05-2025,9016.95,"0036 Madison Vista Suite 931, Port Bradleytown, MN 55260",Delivered,14-06-2025
ORD00007,CUST0024,30-08-2024,32696.61,"426 Susan Port Apt. 291, Hodgeview, NC 80358",Shipped,30-05-2025
ORD00008,CUST0080,17-05-2025,11480.43,"9962 Raven Stravenue, Davisstad, KY 80603",Shipped,01-06-2025
ORD00009,CUST0051,18-03-2025,34579.28,"68444 Smith Creek, Jacobfort, NJ 32043",Shipped,21-06-2025
ORD00010,CUST0007,15-11-2024,66557.69,"PSC 7524, Box 0487, APO AP 43907",Pending,12-05-2025
ORD00011,CUST0063,08-02-2025,56438.25,"334 York Cove, Duncanfort, TN 35189",Cancelled,13-04-2025
ORD00012,CUST0019,18-01-2025,45984.79,"441 Lowe Road Apt. 977, Whiteheadmouth, NJ 16120",Cancelled,12-02-2025
ORD00013,CUST0107,02-03-2025,6216.72,"2746 Kennedy Point Suite 946, South Jose, OH 06545",Shipped,08-04-2025
ORD00014,CUST0099,10-07-2024,36305.23,"2368 Ortiz Flat Suite 596, Port Adamland, OH 64849",Cancelled,04-08-2024
ORD00015,CUST0103,20-04-2025,33180.42,"56330 Gregory Locks Suite 739, Jessicaton, NV 89762",Shipped,05-05-2025
ORD00016,CUST0038,08-08-2024,63798.17,"USCGC Knight, FPO AP 65513",Pending,02-04-2025
